"AJAX Layered Navigation","AJAX Layered Navigation"
"AJAX Layered Navigation Section","AJAX Layered Navigation Section"
"AJAX Request Timeout","AJAX Request Timeout"
"Animation used for the scroll-to-top","Animation used for the scroll-to-top"
"Enable Scroll-to-top","Enable Scroll-to-top"
"For more information about jQuery easings, go to the <a href=""https://api.jqueryui.com/easings/"" target=""_blank"">official jQuery UI documentation</a>","For more information about jQuery easings, go to the <a href=""https://api.jqueryui.com/easings/"" target=""_blank"">official jQuery UI documentation</a>"
"In milliseconds, by default 1200 (= 1.2 second)","In milliseconds, by default 1200 (= 1.2 second)"
"In milliseconds, by default 10000 (= 10 seconds)","In milliseconds, by default 10000 (= 10 seconds)"
"In pixels, by default 20","In pixels, by default 20"
"Loading product listings with AJAX when a filter is selected or removed","Loading product listings with AJAX when a filter is selected or removed"
"Offset relative to the products wrapper","Offset relative to the products wrapper"
"Scroll to the top of the page when the AJAX request is completed.","Scroll to the top of the page when the AJAX request is completed."
"Scroll-to-top Easing","Scroll-to-top Easing"
"Scroll-to-top Easing Duration","Scroll-to-top Easing Duration"
"Scroll-to-top Offset","Scroll-to-top Offset"
"Shopigo Extensions","Shopigo Extensions"
"Sorry, something went wrong. Please try again later.","Sorry, something went wrong. Please try again later."
"Use AJAX to Apply Filters","Use AJAX to Apply Filters"